time,speed,throttle,brake,steering,laps
216.78,3.726753265871851e-40,1.0,0.0,28.0147762298584,0
216.88,3.728468455192185e-40,1.0,0.0,28.012939453125,0
216.98,3.730133197767803e-40,1.0,0.0,28.011137008666992,0
217.08,3.7318483870881365e-40,1.0,0.0,28.01048469543457,0
217.18,3.733513129663754e-40,1.0,0.0,28.009883880615234,0
217.28,3.735228318984087e-40,1.0,0.0,28.009302139282227,0
217.38,3.736893061559706e-40,1.0,0.0,28.008188247680664,0
217.49,3.738608250880039e-40,1.0,0.0,28.006877899169922,0
217.59,3.740272993455657e-40,1.0,0.0,28.00558853149414,0
217.69,3.7419881827759906e-40,1.0,0.0,28.004247665405273,0
217.79,3.743652925351608e-40,1.0,0.0,28.0029296875,0
217.89,3.745368114671942e-40,1.0,0.0,28.001558303833008,0
217.99,3.74703285724756e-40,1.0,0.0,28.000207901000977,0
218.09,3.748748046567894e-40,1.0,0.0,27.998807907104492,0
218.19,3.7504127891435115e-40,1.0,0.0,27.997434616088867,0
218.29,3.752127978463845e-40,1.0,0.0,27.996000289916992,0
218.39,3.7538431677841785e-40,1.0,0.0,27.994552612304688,0
218.49,3.755507910359796e-40,1.0,0.0,27.993139266967773,0
218.59,3.75722309968013e-40,1.0,0.0,27.991662979125977,0
218.69,3.758887842255748e-40,1.0,0.0,27.990217208862305,0
218.79,3.760603031576082e-40,1.0,0.0,27.98871612548828,0
218.89,3.7622677741516995e-40,1.0,0.0,27.98724365234375,0
218.99,3.7639829634720326e-40,1.0,0.0,27.985713958740234,0
219.09,3.765647706047651e-40,1.0,0.0,27.98421287536621,0
219.19,3.767362895367984e-40,1.0,0.0,27.98265838623047,0
219.3,3.769027637943602e-40,1.0,0.0,27.98113250732422,0
219.4,3.770742827263936e-40,1.0,0.0,27.979541778564453,0
219.5,3.7724075698395535e-40,1.0,0.0,27.977996826171875,0
219.6,3.7741227591598874e-40,1.0,0.0,27.976383209228516,0
219.7,3.775787501735505e-40,1.0,0.0,27.974803924560547,0
219.8,3.777502691055839e-40,1.0,0.0,27.97316551208496,0
219.9,3.779167433631457e-40,1.0,0.0,27.9715633392334,0
220.0,3.78088262295179e-40,1.0,0.0,27.969898223876953,0
220.1,3.782547365527408e-40,1.0,0.0,27.96827507019043,0
220.2,3.784212108103026e-40,1.0,0.0,27.96663475036621,0
220.3,3.785927297423359e-40,1.0,0.0,27.96493148803711,0
220.4,3.787642486743693e-40,1.0,0.0,27.963220596313477,0
220.5,3.789307229319311e-40,0.9556499719619751,0.004130777902901173,27.96155548095703,0
220.6,3.791022418639645e-40,0.6711000204086304,0.015608731657266617,27.960100173950195,0
220.7,3.7926871612152625e-40,0.319599986076355,0.05438666418194771,27.95905303955078,0
220.8,3.794402350535596e-40,0.0,0.17979079484939575,27.95853614807129,0
220.9,3.796067093111214e-40,0.0,0.3388570249080658,27.95853614807129,0
221.0,3.797782282431547e-40,0.0,0.47848600149154663,27.95853614807129,0
221.1,3.799447025007166e-40,0.0,0.5045715570449829,27.95853614807129,0
221.2,3.801162214327499e-40,0.0,0.5039277672767639,27.95853614807129,0
221.31,3.8028269569031165e-40,0.0,0.5753907561302185,27.95853614807129,0
221.42,3.804693486457597e-40,0.0,0.6255511045455933,27.95853614807129,0
221.52,3.806408675777931e-40,0.0,0.626007616519928,27.95853614807129,0
221.62,3.808073418353549e-40,0.0,0.6130294799804688,27.95853614807129,0
221.72,3.809788607673883e-40,0.0,0.5785252451896667,27.95853614807129,0
221.82,3.8114533502495006e-40,0.0,0.5516898036003113,27.95853614807129,0
221.92,3.813168539569834e-40,0.0,0.532464861869812,27.95853614807129,0
222.02,3.814833282145452e-40,0.0,0.5195136666297913,27.95853614807129,0
222.12,3.816548471465785e-40,0.0,0.5082833170890808,27.95853614807129,0
222.22,3.818263660786119e-40,0.0,0.470098614692688,27.95853614807129,0
222.32,3.819928403361737e-40,0.02000001072883606,0.35608452558517456,27.95853614807129,0
222.42,3.821593145937355e-40,0.12005001306533813,0.06469833850860596,27.958324432373047,0
222.52,3.8233083352576885e-40,0.2598000168800354,0.0,27.9578800201416,0
222.62,3.825023524578022e-40,0.3313000202178955,0.0,27.95728302001953,0
222.72,3.82668826715364e-40,0.360150009393692,0.0,27.956642150878906,0
222.82,3.828353009729258e-40,0.42590001225471497,0.0,27.95595359802246,0
